id,text,label
1912639,"Es mag sein,das die Schwarzen diese Aussagen als ernidriegend und verletzen erachten. Das ändert nichts daran, das sie REALITÄT sind! Ebenso in Kongo, Tansania, Somalia, Eritrea ... Da kann man sich schon einmal auf unsere neuen Goldstücke freuen, die nach Unterzeichnung des UN Migrationspaktes in Massen kommen werden!",1.0
1916061,"Fragen uns jeden Spieltag0  ""Wie schaffen es diese  ""Chaoten"",  diese  ""hirnlosen Idioten"",  diese  ""Vollpfosten"",  wie soll man sie sonst noch benennen,  dieses  ""Zeug""  in die Stadien zu bekommen ???? -   Die kontrollierenden Verantwortlichen  schlafen, in unseren Augen, ganz ganz gewaltig,  oder  . . . . . . . . .  =  das wagen wir gar nicht auszusprechen !!!! - ",1.0
1916565,"Pardon, aber mit dem Kolben im Gesicht ""Sexiest Man Alive""?  Diese gewollte Gleichmacherei nimmt immer groteskere Züge an.",1.0
1919295,Wird es den Linksradikalen zu kalt in ihren Baumhäusern? Erbärmliches Pack!,1.0
1920655,"Solange die ideologisch verbohrten, linken, selbsternannten Guten keinen Unterschied zwischen ""Rechts"" und ""Rechtsextrem"" hinbekommen, kann man diese geistigen Minderleister nicht für voll bzw. zurechnungsfähig nehmen.",1.0
1921421,"Diese Antwort wäre für den Lumpen angemessen gewesen: ""Get the hell out of here you a...hole"". Es ist wirklich eine richtige Flegelei was sich dieser Rassist und Fremdenfeind und Politclown da mal wieder geleistet hat.",1.0
1922321,"""Ich lebe normalerweise davon, dass ich schnell denke....""  da muss der warmduscher aber schon längere zeit schlecht leben ""....dass war heute zweimal nicht der Fall, ganz schlimm..."" da soll er mal die national-spiele addieren bei dem er soviel verbockt. da kommt er auf die gleiche summe von fehlern. schlichtweg ein jammerlappen isser und schon seid jahren nicht mehr wie eine winter-hummel ! ",1.0
1922581,"Jaja.....so sind  ´se, die Weiber! Un dwenn er sie verschmäht hat, wird auch sie sich bei dieser merkwürdigen ""me too"" Bewegung anmelden, als Enttäuschung, dass er sich für sie nicht wikrlich interessiert hat. Warum denn auch?! Hat er doch die bestaussehendste First Lady, die die Welt jemals gesehen hat. Merkel? *urgs*, schon allein der ihre Fingernägel....bäääh.",1.0
1923095,"So werden unsere Steuergelder in unverantwortlicher Art und Weise ""verbraten""! Warum glauben bestimmte Politiker der Stromlobby, dass E-Busse sauber wären? Sie sind nur eins: viel zu teuer. Dabei gibt es kostengünstige UND saubere Alternativen! https://www.br.de/nachrichten/deutschland-welt/stadtwerke-augsburg-biomethan-schlaegt-elektromobilitaet,R8q8Kik?fbclid=IwAR32kMcowsJ-Z-LxVGmGCsAlgRA5P8qonQ8n0ZqthrhtQm4qFa-KLWCG8rE",1.0
1923269,Was für ein billiger kleiner Prolet. Ohne Fußball würde der bestenfalls die Straße kehren. Und damit möchte ich nichts abfälliges über Straßenkehrer sagen.,1.0
1929229,AKK hat endlich den Fehler des ATOM-Ausstiegs zugestanden ! FM ist als Lobby-Biest eh nicht wählbar. Und Jens Spahn ist einfach nur schwul,1.0
1929237,Man muss Kopftuch tragen und kein deutsch sprechen dann wird dir geholfen. ,1.0
1930557,Debile Grinser,1.0
1934787,Osteuropäische Fernfahrer sind Schuld an der afrikanischen Schweinepest? Eher handelt es sich dabei wohl um die Wegzehrung afrikanischer Flüchtlinge auf der Balkanroute.,1.0
1938685,"Na ja, Effenberg ist auch so ein selbst ernannter Experte und kann sich mit L.  Matthäus  in eine Schublade stecken. Diese hirnlosen Fußballer, unzweifelhaft am Ball stark, sollten eigentlich ihre Klappe halten; nur um im Gespräch zu bleiben  reden die Deppen doch nur öffentlich und die Presse ist auch noch froh über solchen Schwachsinn.",1.0
1941995,Wie kommt man als Mutter nur auf so dumme Namen. Da fehlt doch offensichtlich Hirn. gibt's bei ebay leider nciht zu erwerben.,1.0
1942769,weis dies linke Zecke eigentlich wovon er redet? Das bezweifele ich. Nur Demagoge.,1.0
1947119,"Die lügen alle, wenn sie nur den Mund aufmachen. Putin ist ein Dre....ack, der ist auch noch clever, Trump ist auch einer, aber unsäglich dumm und plump dabei. Wenn für die Welt nicht so viel auf dem Spiel stünde, könnte man frohlocken, dass sich die zwei Irren gefunden haben.",1.0
1947617,Sprach der Merkel Günstling und Speichellecker!  Mit AKK wird es der CDU wie der SPD ergehen. ,1.0
1947929,Der Fanatismus von Podolski für Köln ist pathologisch und grenzt an inzestuöses Verhalten eines geistig eingeschränkten Menschen. Soll er doch. Das macht doch nur die Kleingeistigkeit von ihm abermals  mehr als deutlich. ,1.0
1953509,"Die Eltern sind für mich der Abschaum der Gesellschaft - leider dürfen Ärzte und Co. denen die Behandlung nicht verweigern, ich würde die hochkant rauswerfen.",1.0
1953803,"Wieder so ein kleinkrimineller Kameltreiber aus Nordafrika, der im Namen Allahs Ungläubige dahinschlachtet. Na denn - schönes Weihnachtsfest......",1.0
1955781,"Keine allgemeinen Zuwanderer, sondern eine weitere muslimische Invasion. Man sollte schon bei der Wahrheit bleiben. Und der Bürger glaubt an das Märchen, der geringer werdenden Migration, weil immer der Maßstab von 2015/16 angewandt wird. Selig sind die Beklopten",1.0
1956139,Gut so....  Hätten in den 70ern mit den RAFlern auch passieren müssen ,1.0
1956797,"Im Moment fällt mir keine Beschreibung dieser Dumpfbacken ein, die irgendwie an Menschen erinnern soll. ",1.0
1958559,"Wie schnell sich die Kommentare zum Trumpel geändert haben. Noch vor einem Jahr wurde er hoch gepriesen, aber inzwischen haben selbst die dümmsten Menschen erkannt, dass dieser kranke Narzisst ein Verbrecher ist!",1.0
1958891,"Tja, da fragt man sich wirklich, wer der größere Drecksack dieser Beiden ist. Erdogen oder Gülen?",1.0
1959845,"Offensichtlich hat Trump sich auf die Fahnen geschrieben, während seiner Amtszeit so viel wie möglich zu zerstören, was andere mit Entbehrungen aufgebaut haben. Ein alter Mann mit dem Hirn eines 14jährigen unter seinem Hamsterfell, der dümmste Präsident den die USA bis heute hervorgebracht hat.",1.0
1960439,Moscheen sind Brutstätten des islamistischen Terrors (Thilo Sarrazin).,1.0
1962221,Wir brauchen dringen Arbeitssklaven aus Afrika die Syrer und Iraker und Afghanen können wir nicht brauchen !,1.0
1964343,"Nichts, worauf Kallstadt und Deutschland sich freuen sollten. Muss man wert darauf legen, Vorfahre eines solchen Dummkopfs zu sein?",1.0
1966647,Dieser Mann ist nur dumm und krank!,1.0
1967699,"Das ist eine eindeutige Kriegserklärung an Europa. Wir sollten entsprechend reagieren. Vor allem müssen wir uns Gedanken machen ob es unter diesen Umständen nicht besser wäre alle Türkischstämmigen in ihre Heimat, die Türkei, zurück zu schicken. Wir brauchen keine 5. Kolonne in Deutschland. Es wird Zeit der Realität ins Auge zu schauen.",1.0
1967707,"Für Größenwahnsinnige gibt es das Fletcher´s memorial. Aber da Sie viele ""Gläubige"" ( Fanatiker, Patrioten, Unbedarfte/Deppen, Gefolge, Opportunisten) haben - schlage ich mal die gesamte Sahara als Naturschutzgebiet für diese ""menschenähnliche"" (welche aber nicht so handelt) Existenzen vor. Trump, Putin, Maduro, Orban u.v.a. passen da auch rein! Donald kann die Aufsicht für den Bau eines Doms übernehmen!",1.0
1968085,"Das ist doch nur eine hysterisch-neurotische Nebelkerzenaktion um den deutschen Michel ruhig zu halten. Merkt ihr eigentlich noch nicht,daß ihr jeden Tag aufs Neue eine Glattrasur bekommt?? Es ist unfassbar was in diesem Land abgeht. Als ob sich die Muslime von den Christenhunden was sagen lassen würden ",1.0
1972893,"Anstatt über das eigentlich Problem, nämlich prügelnde Asylbewerber zu sprechen, macht man nun wieder eine neue Diskussion auf...natürlich gehen Bürgerwehren nicht, aber wenn der Rechtstaat versagt und einfach nicht in der Lage ist seine Bürger zu schützen und Verfehlungen zu sanktionieren, dann hilft sich der Bürger eben selbst. Eine natürliche Konsequenz! ",1.0
1973049,"Vergleich mit GoT passt irgendwie, da ein Land voller Schauspieler, Oberflächlichkeiten sowie begrenztem Bildungsniveau, das einen solchen Volltrottel und Selbstdarsteller wählt.",1.0
1973611,"Ach der Kubicki schon wieder. Wir müssen in Deutschland keine Ausländer mit Streetworkern sozialisieren. Das ist Sache der Herkunftsländer. So oder so halte ich Sozialisierungsverscuhe ab einem gewissen Alter für sinnlos. Und ioch schreiben ganz bewußt von ""Sozialisierung"" und nicht von ""Resozialisierung"". Denn m.E. waren die nie sozialisiert. Die waren schon immer asozial!",1.0
1974361,"oder aber Mutterficker, was es auch nicht besser macht!",1.0
1977733,"Deutschland schläft: Überwachen, ggf. schiessen und notfalls abreissen. In Deutschland findet zur Zeit eine arabisch-/türkisch-muslimische Invasion statt. D+EU sollen muslimische übernommen werden. Wann merkt Ihr das endlich. Hauptsache AfD überwachen - Ihr seid auf dem falschen Weg und werdet es merken - wenn es schon zu spät ist. Grüße aus Belgien",1.0
1982845,Prinz Eisenherz muss weg - schnell - jetzt! Mit soviel Arbeitgebern würde der bei mir nichtmals als Putzfrau jobben dürfen.  Knackies in der Führungsetage der Fortuna.  Wer hätte das jeh gedacht? ,1.0
1983313,Robert Schäfer: Der Trottel aus Düsseldorf,1.0
1985099,https://www.instagram.com/sadam.one  ,1.0
1986745,"""Gegen den 50-jährigen Deutsch-Afghanen Abdul Hamid S. ""  da Wunderts noch einen? daran dieht man schon wie es um Deutschland steht.",1.0
1986819,"Bodensee  Eins muss man dir lassen, du gehörst nicht zu den hellsten Schwaben die ich kenne. Zwei Informationen kannst du meinem letzten Beitrag entnehmen. Eine ist, dass ich mich mit den Ureinwohnern in Obersschwaben bestens auskenne, bis hin zum Dialekt.  Die andere, dass ich mit dem Ball mehr kann als du dachtest. Nach meiner aktiven Zeit habe ich auch Landesliga trainiert., solange mein Beruf es zugelassen hat.",1.0
1987879,Die beiden größten Schweine (Bildmitte oben) haben diesen Vorfall offenbar überlebt.,1.0
1988753,"Vielleicht hat der ""Große Bruder"" ja eine andere Möglichkeit gefunden günstiger an afghanisches Opium zu kommen. Eines steht jedenfalls fest, die Russen waren wesentlich schlauer, sind abgezogen und haben zugeschaut, wie sich die Mohamedaner selbst zerfleischen, beispielhaft. ",1.0
1991015,"Schau an - es ist Wochenende,  und ein gefrustetes Pickelgesicht muss widerwillig Dienst schieben.  Da versucht man gerne mal,  seine ""Macht "" an den Leserkommentaren zu demonstrieren.  Das muss ja unheimlich viel Spaß machen. Empfindet zumindest das komplexbeladene Pickelgesicht.   Na,  dann wollen wir ihm mal ein schönes Wochenende wünschen. ",1.0
1991407,"In Deutschland gehören klirrend kalte Winter der Vergangenheit an: „Winter mit starkem Frost und viel Schnee wie noch vor zwanzig Jahren wird es in unseren Breiten nicht mehr geben“, sagte der wegen es Klimawandels geistig schwer erkrankte Wissenschaftler Mojib Latif vom Hamburger Max-Planck-Institut für Meteorologie im April 2000 ………..bei dem grünlinken SPON.",1.0
1993097,Wenn das der Fahrsicherheitstrainer des tollen ADAC ist dann gute Nacht Automobilclub. Scheinbar arbeiten da jetzt nur noch Deppen. Fahren im Winter auf schneebedeckten Strassen muss man einfach üben. An sich ganz einfach. Geht sehr gut auch hier im Allgäu mit meinem Golf 1 mit Ganzjahresreifen und ohne Elektronikmist wie ABS ASR etc. Man muss es halt nur können. Wenn man zu blöd zum autofahren ist helfen auch elektronische Systeme nicht weiter. ,1.0
1997035,ich finde mann darf denn Stand ort nicht wechseln Düsseldorf ist bekannt geworden durch Löwensenf.Ich vermarkte selber Löwensenf International hier bei Ebay erstmalig International Löwensef zu bestellen >>>https://www.ebay.de/itm/323664656656 ,1.0
1999217,"Eine gute Bestätigung, dass man als blondes, gutausehendes Mädel nicht viel Hirn braucht um weiterzukommen... ",1.0
1999529,Man trägt auf der Straße keine Kippa. Sowas machen nur Goyim.,1.0
2000807,life hack.   https://www.amazon.de/ST%C3%9CCK-LEITKEGEL-WEISS-KEGEL-WARNKEGEL/dp/B00IJA03D2/ref=sr_1_1?ie=UTF8&qid=1548752441&sr=8-1&keywords=warnpylone     ,1.0
2004031,"Asozialer Hundebesitzer. Besserwisser. Arrogant. Ignorant. Feige. Geschlecht egal.  Dem Hund selbst kann man natürlich keinen Vorwurf machen. So ne Hundebirne ist klein mit nur wenig Platz für Hirn. Und ich mag Hunde.  Die armen Kängurus. Sehr, sehr traurig.",1.0
