text,label,five_folds,ten_folds,train_test_split
"In einer demokratischen Arme darf demokratisch gewählt werden. Und wenn das Angebot der AfD nächer an den Wünschen und Bedürfnissen der denkenden Bürger ist, sieht das aus sicht der CDU nach einem Verlust aus. Die Demokratie hat diese Bürger nicht verloren.",0.0,4,8,1
"Wir erleben eine Neuauflage des Kinderkreuzzuges. Die Kinder, sprich Menschen, die noch nie ernsthaft  was gearbeitet haben, was heutzutage mal bis zum 30. Geburtstag dauern kann, sind genau so dämlich wie die Anno Domini 1212. ",1.0,4,8,1
"Wie wahr, wie wahr, endlich sagt einer das, was wir Wähler schon lange wissen - wir werden von Dummköpfen regiert. Hoffentlich schlägt jetzt nicht wieder, weil man das ja nicht kontrollieren kann, die Netiquette wieder zu. Hoffen wir mal!",1.0,4,8,1
"Ja ja,  was diese Schluchtensch....  dürfen, dürfen andere noch lange nicht. Die Frage:  Was könnte die Lösung sein?  ist doch ganz einfach zu beantworten: Nicht mehr über diese Grenze fahren. Europa hat so schöne andere Flecken, da hat man diese Almdudler nicht nötig.",1.0,4,8,1
EU Freizügigkeit -> Zieht Armut an . Haben sich die Eliten ausgedacht,0.0,4,8,1
"""Reichsparteitag"" in Athen! Ich könnte k..zen!",1.0,4,8,1
"Ich finde da ist ganz klar eine Frauennachnamengleichberechtigugnsquote fällig!  Meine Lösung sieht so aus: jeweils ein drittel nimmt den Namen des Mannes an, das weitere drittel den der Frau. Zu guter letzt, darf sich das letzte drittel dann, völlig aus genderischer Korrektheit, zukünfitg ""Divers"" auf das Klingelschild schreiben. Klingt super, oder? ",1.0,4,8,1
Wie wäre es mal mit fähigen Menschen in der Regierung? Sind doch alles nur noch Blödmanns Gehilfen.,1.0,4,8,1
"komisch und verklärend ist nur die Tatsache das es wohl eindeutig die bösen Waldbesetzer sind ?? !! Wenn man das weiß, dann kann man doch denen auflauern, festnehmen und einlochen !! Aber warum macht man das nicht ? Oder ist dies mal wieder eine hochgepuschte Nachrichtenlage der Medien ?? ansonsten gibt es ja nicht allzuviel spannendes..............",0.0,4,8,1
"Seien Sie froh, dass es in MG noch keine gibt. Zufallsbeobachtungen am vergangenen Freitag in Düsseldorf: vier Sichtungen, zwei davon besetzt mit zwei Erwachsenen und alle vier mit Affenzahn auf Bürgersteigen unterwegs. Das nennt man dann wohl ""Fußgängerslalom"".",0.0,4,8,1
"""Der singende Wirt erhält die Dumeklemmer-Plakette der Jonges. ""  Die hat er auch wahrlich verdient! Toller, immer hilfsbereiter Mensch, der das Ratinger Brauchtum stets aktiv unterstützt. ",0.0,4,8,1
"Leute wie diese Amani-Komikerin (schon der Name ist dumm) gehören mit zu dem niveausolesten und unwitzigstemm Kram, der auf diesem Planeten rumrennen darf! Kritik ist hier vollkommen berechtigt. Schade, dass man überhaupt mit sowas belästigt wird. Eigentlich sind solche Leute Niemande denen man keine Beachtung schenken sollte. Das es so etwas überhaupt gibt ist nur ein Zeichen den schleichenden Volksverblödung! Mit anisa Amani oder wie sie heißt, ab in die Tonne!",1.0,4,8,1
